source,target,edge
Ealine makuli degeneratsioon,Ealine makuli degeneratsioon,classified as
Senilna makularna degeneracija,Makularna degeneracija povezana s dobi,classified as
Ealine makuli degeneratsioon,Ealine makuli degeneratsioon,classifies
Ealine makuli degeneratsioon,Ealine makuli degeneratsioon,classified as
Macular Degeneration,Retinal Disorders,related to
senile macular degeneration,macular degeneration,associated with
ARMD,macular degeneration,see
obsolete Age-related macular degeneration,Macular degeneration,consider
Central serous retinopathy,Retinal detachments; defects; vascular occlusion; and retinopathy,classified as
Central serous chorioretinopathy,Central serous retinopathy,classifies
Central serous chorioretinopathy,Central serous chorioretinopathy,classifies
Central serous retinopathy,Central serous chorioretinopathy,classified as
Corioretinopatia sierosa centrale,Corioretinopatia sierosa centrale,classified as
Centralis serosus chorioretinopathia,Centralis serosus choroidopathia,classifies
Coroidopatia sierosa centrale,Corioretinopatia sierosa centrale,classified as
Centralis serosus chorioretinopathia,Centralis serosus chorioretinopathia,classifies
centrale sereuze chorioretinopathie,centrale sereuze chorioretinopathie,classifies
centrale sereuze chorioretinopathie,centrale sereuze retinopathie,classifies
Zentrale seroese Chorioretinopathie,Zentrale seroese Retinopathie,classifies
Corioretinopatia sierosa centrale,Corioretinopatia sierosa centrale,classifies
Centralna surowicza chorioretinopatia,Centralna surowicza chorioretinopatia,classified as
Central serous chorioretinopathy,Central serous chorioretinopathy,classified as
Retinopatia sierosa centrale,Corioretinopatia sierosa centrale,classified as
Centralis serosus chorioretinopathia,Centralis serosus chorioretinopathia,classified as
Zentrale seroese Choroidopathie,Zentrale seroese Chorioretinopathie,classified as
Centralna surowicza chorioretinopatia,Centralna surowicza choroidopatia,classifies
Central serous chorioretinopathy,Central serous choroidopathy,classifies
Coriorretinopatia serosa central,Retinopatia serosa central,classifies
Corioretinopatia sierosa centrale,Coroidopatia sierosa centrale,classifies
Central serous choroidopathy,Central serous chorioretinopathy,classified as
Coroidopatia serosa central,Coriorretinopatia serosa central,classified as
Coriorretinopatia serosa central,Coriorretinopatia serosa central,classified as
Coriorretinopatia serosa central,Coriorretinopatia serosa central,classifies
Centralis serosus choroidopathia,Centralis serosus chorioretinopathia,classified as
Coriorretinopatia serosa central,Coroidopatia serosa central,classifies
Corioretinopatia sierosa centrale,Retinopatia sierosa centrale,classifies
Retinopatia serosa central,Coriorretinopatia serosa central,classified as
centrale sereuze chorioretinopathie,centrale sereuze chorioretinopathie,classified as
Centralna surowicza choroidopatia,Centralna surowicza chorioretinopatia,classified as
Zentrale seroese Retinopathie,Zentrale seroese Chorioretinopathie,classified as
Centralis serosus retinopathia,Centralis serosus chorioretinopathia,classified as
Centralna surowicza chorioretinopatia,Centralna surowicza chorioretinopatia,classifies
Centralna retinopatia surowicza,Centralna surowicza chorioretinopatia,classified as
Retinopatia serosa central,Coriorretinopatia serosa central,classified as
centrale sereuze retinopathie,centrale sereuze chorioretinopathie,classified as
Centralis serosus chorioretinopathia,Centralis serosus retinopathia,classifies
Centralna surowicza chorioretinopatia,Centralna retinopatia surowicza,classifies
Coriorretinopatia serosa central,Coroidopatia serosa central,classifies
Zentrale seroese Chorioretinopathie,Zentrale seroese Chorioretinopathie,classifies
Coriorretinopatia serosa central,Coriorretinopatia serosa central,classifies
Zentrale seroese Chorioretinopathie,Zentrale seroese Choroidopathie,classifies
Zentrale seroese Chorioretinopathie,Zentrale seroese Chorioretinopathie,classified as
Coriorretinopatia serosa central,Coriorretinopatia serosa central,classified as
Coriorretinopatia serosa central,Retinopatia serosa central,classifies
Coroidopatia serosa central,Coriorretinopatia serosa central,classified as
Central serous retinopathy,Other retinal disorders,classified as
Central serous chorioretinopathy,Neuroepithelial layer,has finding site
Central serous chorioretinopathy,History of central serous retinopathy,associated finding of
Retinal vein occlusion,Prethrombosis retinal,classifies
Netzhautvenenverschluss,Praethrombose der Retina,classifies
Occlusione della vena retinica,Pretrombosi retinica,classifies
retinavene occlusie,pretrombose retinaal,classifies
Occlusione della vena retinica,Occlusione della vena emiretinica,classifies
Retinal vein occlusion,Hemiretinal vein occlusion,classifies
Netzhautvenenverschluss,Hemiretinaler Venenverschluss,classifies
retinavene occlusie,hemiretinavene occlusie,classifies
Retinal vein occlusion,Ischemic central retinal vein occlusion,classifies
Retinal vein occlusion,Ischaemic central retinal vein occlusion,classifies
Netzhautvenenverschluss,Ischaemischer Verschluss der zentralen Netzhautvene,classifies
retinavene occlusie,Ischemische centraal-retinaal veneuze occlusie,classifies
Netzhautvenenverschluss,Ischaemischer Verschluss der zentralen Netzhautvene,classifies
retinavene occlusie,Ischemische centraal-retinaal veneuze occlusie,classifies
Retinal vein occlusion,Venous tributary (branch) occlusion of retina,classifies
Retinal vein occlusion,Retinal vein branch occlusion,classifies
Netzhautvenenverschluss,Verschluss eines Netzhautvenenschenkels,classifies
retinavene occlusie,occlusie van een retinavene zijtak,classifies
Occlusione della vena retinica,Occlusione di ramo della vena retinica,classifies
retinavene occlusie,retinavene zijtak occlusie,classifies
Occlusione della vena retinica,Occlusione della vena centrale della retina,classifies
Retinal vein occlusion,Central retinal vein occlusion,classifies
retinavene occlusie,centrale retinavene occlusie,classifies
Netzhautvenenverschluss,Verschluss der zentralen Netzhautvene,classifies
Retinal vein occlusion,Structure of retinal vein,has finding site
occlusion of retinal vein,Structure of retinal vein,has finding site
occlusion of retinal vein,Structure of retinal vein,has finding site
Retinal vein occlusion,Retinal vein occlusion,classified as
Occlusion retinal vein,Retinal vein occlusion,classified as
Occlusione della vena retinica,Occlusione della vena retinica,classified as
retinavene occlusie,occlusie retinavene,classifies
Retinal vein occlusion,Retinal vein occlusion,classifies
Occlusione della vena retinica,Occlusione della vena retinica,classifies
Occlusione della vena retinica,Occlusione della vena retinica,classifies
Occlusione della vena retinica,Occlusione della vena retinica,classified as
Retinal vein occlusion,Occlusion retinal vein,classifies
Netzhautvenenverschluss,Verschluss einer Netzhautvene,classifies
retinavene occlusie,retinavene occlusie,classifies
Netzhautvenenverschluss,Netzhautvenenverschluss,classifies
Retinal vein occlusion,Retinal vein occlusion,referred to by
Retinal vein occlusion,Retinal vein occlusion,refers to
occlusie retinavene,retinavene occlusie,classified as
retinavene occlusie,retinavene occlusie,classified as
Netzhautvenenverschluss,Netzhautvenenverschluss,classified as
Verschluss einer Netzhautvene,Netzhautvenenverschluss,classified as
Exudative retinopathy,Retinal detachments; defects; vascular occlusion; and retinopathy,classified as
Exudative retinopathy,Other retinal disorders,classified as
RETINAL TELANGIECTASIS,COATS DISEASE,alias of
Exudative retinopathy,Exudative retinopathy,classified as
Retinopatia essudativa,Retinopatia essudativa,classified as
ziekte van Coats,exsudatieve retinopathie,classified as
Coats' disease,Exudative retinopathy,classified as
Malattia di Coats,Retinopatia essudativa,classified as
exsudatieve retinopathie,exsudatieve retinopathie,classified as
Retinopatia exsudativa,Retinopatia exsudativa,classified as
Retinopatia essudativa,Retinopatia essudativa,classifies
Exsudativ retinopathia,Exsudativ retinopathia,classifies
Exudative retinopathy,Coats' disease,classifies
COATS DISEASE,RETINAL TELANGIECTASIS,has alias
Exsudativ retinopathia,Exsudativ retinopathia,classified as
exsudatieve retinopathie,exsudatieve retinopathie,classifies
exsudatieve retinopathie,ziekte van Coats,classifies
Exudative retinopathy,Exudative retinopathy,classifies
Exsudative Retinopathie,Morbus Coats,classifies
Retinopatia essudativa,Malattia di Coats,classifies
Morbus Coats,Exsudative Retinopathie,classified as
Retinopatia exsudativa,Retinopatia exsudativa,classifies
Exsudative Retinopathie,Exsudative Retinopathie,classified as
Exsudative Retinopathie,Exsudative Retinopathie,classifies
Exsudativ retinopati,Exsudativ retinopati,classified as
Exsudativ retinopati,Exsudativ retinopati,classifies
Exsudativ retinopati,Coats sjukdom,classifies
Eksudativna retinopatija,Eksudativna retinopatija,classified as
Retinopatia exsudativa,Retinopatia exsudativa,classifies
Retinopatia exsudativa,Retinopatia exsudativa,classified as
Coats sjukdom,Exsudativ retinopati,classified as
Coatsova bolest,Eksudativna retinopatija,classified as
Eksudativna retinopatija,Eksudativna retinopatija,classifies
Eksudativna retinopatija,Coatsova bolest,classifies
Exudative retinopathy,Retinal structure,has finding site
Coats' disease,Retinal structure,has finding site
Coats' disease,Structure of blood vessel of retina,has finding site
Vogt-koyanagi syndrome,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease),classified as
Harada's disease,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease),classified as
Vogt-Koyanagi-Harada disease,Autoimmune process,has pathological process
enfermedad de Vogt-Koyanagi-Harada,proceso autoinmunitario,has pathological process
Vogt-Koyanagi-Harada disease,Uveal tract structure,has finding site
Vogt-Koyanagi-Harada disease,Harada's disease,classifies
Vogt-Koyanagi-Harada disease,Vogt-Koyanagi-Harada disease,classified as
Vogt-Koyanagi-Harada syndrome,Vogt-Koyanagi-Harada disease,classified as
Malattia di Vogt-Koyanagi-Harada,Malattia di Vogt-Koyanagi-Harada,classified as
Harada's disease,Vogt-Koyanagi-Harada disease,classified as
Vogt-Koyanagi syndroma,Vogt-Koyanagi-Harada-syndroma,classified as
Sindrome di Vogt-Koyanagi-Harada,Malattia di Vogt-Koyanagi-Harada,classified as
Sindrome di Vogt-Koyanagi,Malattia di Vogt-Koyanagi-Harada,classified as
Vogt-Koyanagi-Harada disease,Vogt-Koyanagi-Harada disease,classifies
Vogt-Koyanagi syndrome,Vogt-Koyanagi-Harada disease,classified as
Vogt-Koyanagi-Harada-syndroma,Vogt-Koyanagi-Harada-syndroma,classified as
Vogt-Koyanagi-Harada-syndroma,Vogt-Koyanagi-Harada-syndroma,classified as
Malattia di Vogt-Koyanagi-Harada,Malattia di Vogt-Koyanagi-Harada,classifies
Malattia di Harada,Malattia di Vogt-Koyanagi-Harada,classified as
Malattia di Vogt-Koyanagi-Harada,Malattia di Harada,classifies
Ziekte van Vogt-Koyanagi-Harada,Ziekte van Vogt-Koyanagi-Harada,classifies
Vogt-Koyanagi-Harada-syndroma,Vogt-Koyanagi-Harada-syndroma,classifies
Vogt-Koyanagi-Harada-Krankheit,Vogt-Koyanagi-Harada-Krankheit,classifies
Maladie de Harada,Maladie de Vogt-Koyanagi-Harada,classified as
Ziekte van Vogt-Koyanagi-Harada,syndroom van Vogt-Koyanagi-Harada,classifies
Vogt-Koyanagi-Harada-Krankheit,Harada-Krankheit,classifies
Vogt-Koyanagi-Harada-Krankheit,Vogt-Koyanagi-Syndrom,classifies
Maladie de Vogt-Koyanagi-Harada,Maladie de Vogt-Koyanagi-Harada,classified as
Enfermedad de Vogt-Koyanagi-Harada,Enfermedad de Harada,classifies
Ziekte van Vogt-Koyanagi-Harada,ziekte van Harada,classifies
Vogt-Koyanagi-Harada-syndroma,Vogt-Koyanagi syndroma,classifies
ziekte van Harada,Ziekte van Vogt-Koyanagi-Harada,classified as
Maladie de Vogt-Koyanagi-Harada,Maladie de Vogt-Koyanagi-Harada,classifies
syndroom van Vogt-Koyanagi-Harada,Ziekte van Vogt-Koyanagi-Harada,classified as
Syndrome de Vogt-Koyanagi-Harada,Maladie de Vogt-Koyanagi-Harada,classified as
Malattia di Vogt-Koyanagi-Harada,Sindrome di Vogt-Koyanagi,classifies
Maladie de Vogt-Koyanagi-Harada,Maladie de Harada,classifies
Malattia di Vogt-Koyanagi-Harada,Sindrome di Vogt-Koyanagi-Harada,classifies
Ziekte van Vogt-Koyanagi-Harada,Ziekte van Vogt-Koyanagi-Harada,classified as
syndroom van Vogt-Koyanagi,Ziekte van Vogt-Koyanagi-Harada,classified as
Syndrome de Vogt-Koyanagi,Maladie de Vogt-Koyanagi-Harada,classified as
Vogt-Koyanagi-Harada-Krankheit,Vogt-Koyanagi-Harada-Syndrom,classifies
Enfermedad de Vogt-Koyanagi-Harada,Enfermedad de Vogt-Koyanagi-Harada,classified as
Vogt-Koyanagi-Harada-Syndrom,Vogt-Koyanagi-Harada-Krankheit,classified as
Enfermedad de Harada,Enfermedad de Vogt-Koyanagi-Harada,classified as
Vogt-Koyanagi-Harada-Krankheit,Vogt-Koyanagi-Harada-Krankheit,classified as
Harada-Krankheit,Vogt-Koyanagi-Harada-Krankheit,classified as
Vogt-Koyanagi-Harada-syndroma,Vogt-Koyanagi-Harada-syndroma,classifies
Vogt-Koyanagi-Syndrom,Vogt-Koyanagi-Harada-Krankheit,classified as
Ziekte van Vogt-Koyanagi-Harada,syndroom van Vogt-Koyanagi,classifies
Enfermedad de Vogt-Koyanagi-Harada,Enfermedad de Vogt-Koyanagi-Harada,classifies
Vogt-Koyanagis syndrom,Vogt-Koyanagi-Haradas sjukdom,classified as
Vogt-Koyanagi-Haradas sjukdom,Vogt-Koyanagi-Haradas sjukdom,classifies
Haradas sjukdom,Vogt-Koyanagi-Haradas sjukdom,classified as
Vogt-Koyanagi-Haradas sjukdom,Vogt-Koyanagis syndrom,classifies
Vogt-Koyanagi-Haradas sjukdom,Vogt-Koyanagi-Haradas syndrom,classifies
Vogt-Koyanagi-Haradas syndrom,Vogt-Koyanagi-Haradas sjukdom,classified as
Vogt-Koyanagi-Haradas sjukdom,Vogt-Koyanagi-Haradas sjukdom,classified as
Vogt-Koyanagi-Haradas sjukdom,Haradas sjukdom,classifies
Vogt-Koyanagi sindrom,Vogt-Koyanagi-Haradina bolest,classified as
Vogt-Koyanagi-Harada liga,Vogt-Koyanagi sindromas,classifies
Vogt-Koyanagi-Haradin sindrom,Vogt-Koyanagi-Haradina bolest,classified as
Vogt-Koyanagi-Haradina bolest,Vogt-Koyanagi-Haradina bolest,classifies
Harados liga,Vogt-Koyanagi-Harada liga,classified as
Haradina bolest,Vogt-Koyanagi-Haradina bolest,classified as
Vogt-Koyanagi-Haradan tauti,Vogt-Koyanagi-Haradan tauti,classified as
Vogt-Koyanagi sindromas,Vogt-Koyanagi-Harada liga,classified as
Vogt-Koyanagi-Haradina bolest,Vogt-Koyanagi sindrom,classifies
Vogt-Koyanagi-Haradina bolest,Haradina bolest,classifies
Vogt-Koyanagi-Haradan tauti,Haradan tauti,classifies
Vogt-Koyanagi-Haradan tauti,Vogt-Koyanagi-Haradan tauti,classifies
Vogt-Koyanagi-Harada liga,Vogt-Koyanagi-Harada sindromas,classifies
Vogt-Koyanagi-Haradina bolest,Vogt-Koyanagi-Haradina bolest,classified as
Vogt-Koyanagi-Harada liga,Harados liga,classifies
Haradan tauti,Vogt-Koyanagi-Haradan tauti,classified as
Vogt-Koyanagi-Haradina bolest,Vogt-Koyanagi-Haradin sindrom,classifies
Vogt-Koyanagi-Harada liga,Vogt-Koyanagi-Harada liga,classifies
Vogt-Koyanagi-Harada liga,Vogt-Koyanagi-Harada liga,classified as
Vogt-Koyanagi-Harada sindromas,Vogt-Koyanagi-Harada liga,classified as
Vogt-Koyanagi-Harada disease,Structure of integumentary system,has finding site
Vogt-Koyanagi-Harada disease,Retinal structure,has finding site
Vogt-Koyanagi-Harada disease,Uveoencephalitis,classifies
Malattia di Vogt-Koyanagi-Harada,Uveoencefalite,classifies
Vogt-Koyanagi-Harada-Krankheit,Uveo-Enzephalitis,classifies
Vogt-Koyanagi-Harada-syndroma,Uveoencephalitis,classifies
Vogt-Koyanagi-Haradas sjukdom,Uveoencefalit,classifies
Ziekte van Vogt-Koyanagi-Harada,uveo-encefalitis,classifies
Enfermedad de Vogt-Koyanagi-Harada,Uveoencefalitis,classifies
Vogt-Koyanagi-Harada liga,Uveoencefalitas,classifies
Vogt-Koyanagi-Haradina bolest,Uveoencefalitis,classifies
Vogt-Koyanagi-Haradina bolest,Sindrom uveomeningitisa,classifies
Vogt-Koyanagi-Haradas sjukdom,Uveomeningitsyndrom,classifies
Malattia di Vogt-Koyanagi-Harada,Sindrome uveomeningitica,classifies
Ziekte van Vogt-Koyanagi-Harada,uveomeningitissyndroom,classifies
Vogt-Koyanagi-Harada-syndroma,Uveomeningitis syndroma,classifies
Vogt-Koyanagi-Harada liga,Uveomeningito sindromas,classifies
Vogt-Koyanagi-Harada-Krankheit,Uveo-meningitisches Syndrom,classifies
Microaneurysms,Aneurysm,classified as
Microaneurismi,Aneurisma,classified as
Mikroaneuryzma,Aneuryzma,classified as
Mikroaneirismas,Aneirisma,classified as
Mikroaneurysmer,Aneurysm,classified as
Microaneurismas,Aneurisma,classified as
Mikroaneurizme,Aneurizma,classified as
Mikroaneurizmos,Aneurizma,classified as
Mikroaneurysmen,Aneurysma,classified as
Retinal nonperfusion,Retinal ischaemia,classified as
retinale non-perfusie,retina ischaemie,classified as
Neovascolarizzazione,Neovascolarizzazione,classified as
Neoangiogenesis,Neovascularisatio,classified as
Neovaskularizace,Neovaskularizace,classified as
Neoangiogenesis,Neovascularisation,classified as
Neovascularisatio,Neovascularisatio,classified as
Neovascularisation,Neovascularization,classifies
Neovascularisation,Neoangiogenesis,classifies
Neovascularisation,Neovascularisation,classified as
Bleeding,bleeding laceration of right temporomandibular joint,associated with
Bleeding,bleeding laceration of right side of neck,associated with
Bleeding,bleeding laceration of anterior neck,associated with
Bleeding,bleeding laceration of right shoulder,associated with
Bleeding,bleeding laceration on right upper arm,associated with
Bleeding,bleeding laceration of right elbow,associated with
bloeding,hemorragie,classified as
Hemorragia NE,Hemorragia,classified as
Hemorragia,Hemorragia,classified as
Hemorragia de termo,Hemorragia,classified as
Sangrado,Hemorragia,classified as
niet-gespecificeerde bloeding,hemorragie,classified as
Extravasation sanguine,Extravasation sanguine,classified as
"Blutung, term",Blutung,classified as
"Blutung, nicht spezifiziert",Blutung,classified as
Hemorragia NE,Hemorragia,classified as
Hemorragia NE,Hemorragia,classified as
niet-gespecificeerde hemorragie,hemorragie,classified as
Hemorragia,Hemorragia,classified as
Hemorragia no especificada,Hemorragia,classified as
Blutung,Blutung,classified as
Hemorragia,Hemorragia,classified as
bloedingsperiode,hemorragie,classified as
hemorragie,hemorragie,classified as
Hemorragia,Hemorragia,classified as
Hemorragia NE,Hemorragia,classified as
Hemorragia no especificada,Hemorragia,classified as
hemorragie,hemorragie,classified as
Bluten,Blutung,classified as
Hemorragia,Hemorragia,classified as
Perda de sangue NE,Hemorragia,classified as
extravasatie bloed,extravasatie bloed,classified as
"Blutung, nicht spezifiziert",Blutung,classified as
Austritt von Blut,Austritt von Blut,classified as
Hemorragia,Hemorragia,classified as
Blutung,Blutung,classified as
Glaskoerperblutung,"Haemophthalmus, ausser gegenwaertige Verletzung",classifies
glasvochtbloeding,"hemoftalmos, excl. actueel letsel",classifies
Glaskoerperblutung,Haemophthalmie,classifies
Glaskoerperblutung,Haemophthalmus,classifies
Glaskoerperblutung,Haemophthalmie,classifies
glasvochtbloeding,hemoftalmie,classifies
glasvochtbloeding,hemoftalmie,classifies
glasvochtbloeding,hemoftalmie,classifies
Klaaskeha hemorraagia,Hemoftalm,classifies
glasvochtbloeding,hemoftalmie,classifies
Klaaskeha hemorraagia,Hemoftalmia,classifies
Klaaskeha hemorraagia,Hemoftalmia,classifies
Lasiaisverenvuoto,Hemophthalmos,classifies
Glaskoerperblutung,Haemophthalmus,classifies
Klaaskeha hemorraagia,Hemoftalm,classifies
Lasiaisverenvuoto,Hemoftalmia,classifies
Lasiaisverenvuoto,Hemoftalmia,classifies
Lasiaisverenvuoto,Hemophthalmos,classifies
Glaskoerperblutung,Glaskoerperblutung,classifies
glasvochtbloeding,glasvochtbloeding,classifies
Glaskoerperblutung,Glaskoerperblutung,classifies
Glaskoerperblutung,Bluten des Glaskoerpers,classifies
glasvochtbloeding,bloeding van glasvocht,classifies
glasvochtbloeding,glasvochtbloeding,classifies
Klaaskeha hemorraagia,Klaaskeha hemorraagia,classifies
Klaaskeha hemorraagia,Klaaskeha hemorraagia,classified as
Lasiaisverenvuoto,Lasiaisverenvuoto,classifies
Lasiaisverenvuoto,Lasiaisverenvuoto,classifies
Klaaskeha hemorraagia,Klaaskeha hemorraagia,classified as
Lasiaisverenvuoto,Lasiaisverenvuoto,classified as
Lasiaisverenvuoto,Lasiaisverenvuoto,classifies
Klaaskeha hemorraagia,Klaaskeha hemorraagia,classifies
Lasiaisverenvuoto,Lasiaisverenvuoto,classified as
Klaaskeha hemorraagia,Klaaskeha veritsus,classifies
Lasiaisverenvuoto,Lasiaisverenvuoto,classified as
Klaaskeha veritsus,Klaaskeha hemorraagia,classified as
Glaskoerperblutung,Glaskoerperblutung,classified as
Bluten des Glaskoerpers,Glaskoerperblutung,classified as
glasvochtbloeding,glasvochtbloeding,classified as
glasvochtbloeding,glasvochtbloeding,classified as
bloeding van glasvocht,glasvochtbloeding,classified as
Glaskoerperblutung,Glaskoerperblutung,classified as
Retinal hemorrhage,chorioretinitis of left eye with retinal hemorrhage,associated with
Retinal hemorrhage,choroidal granuloma of left eye with retinal hemorrhage,associated with
Retinal hemorrhage,choroidal granuloma of right eye with retinal hemorrhage,associated with
Retinal hemorrhage,chorioretinitis of right eye with retinal hemorrhage,associated with
Retinal hemorrhage,choroidal mass of left eye with retinal hemorrhage,associated with
Retinal hemorrhage,choroidal mass of right eye with retinal hemorrhage,associated with
Retinal hemorrhage,choroidal nevus of left eye with retinal hemorrhage,associated with
Retinal hemorrhage,choroidal nevus of right eye with retinal hemorrhage,associated with
Retinal hemorrhage,choroiditis of left eye with retinal hemorrhage,associated with
Retinal hemorrhage,choroiditis of right eye with retinal hemorrhage,associated with
Retinal hemorrhage,rhegmatogenous detachment of retina of right eye with retinal hemorrhage,associated with
Retinal hemorrhage,rhegmatogenous detachment of retina of left eye with retinal hemorrhage,associated with
Retinal hemorrhage,giant tear of retina of right eye with retinal hemorrhage,associated with
Retinal hemorrhage,giant tear of retina of left eye with retinal hemorrhage,associated with
Retinal hemorrhage,horseshoe tear of left retina with retinal hemorrhage,associated with
Retinal hemorrhage,horseshoe tear of right retina with retinal hemorrhage,associated with
Hemorragia retiniana,Hemorragias e exsudados do fundo do olho,classifies
Verkkokalvon verenvuoto,Funduksen verenvuodot ja eksudaatit,classifies
Hemorragia retiniana,Exudados y hemorragia en fondo de ojo,classifies
Hemorragia retiniana,Hemorragias e exsudatos de fundo do olho,classifies
retinabloeding,fundus bloedingen en exsudaten,classifies
Emorragia retinica,Emorragie ed essudati del fondo,classifies
Netzhautblutung,Augenhintergrund Blutungen und Exsudate,classifies
Retinal haemorrhage,Fundal haemorrhages and exudates,classifies
Hemorragia retiniana,Hemorragias puntiformes,classifies
Netzhautblutung,punktartige Blutungen,classifies
Emorragia retinica,Emorragie puntiformi,classifies
retinabloeding,puntbloedingen,classifies
Retinal haemorrhage,Dot hemorrhages,classifies
Retinal haemorrhage,Dot haemorrhages,classifies
Netzhautblutung,punktartige Blutungen,classifies
Emorragia retinica,Emorragie puntiformi,classifies
Hemorragia retiniana,Hemorragias puntiformes,classifies
retinabloeding,puntbloedingen,classifies
Hemorragia retiniana,Hemorragias punctiformes,classifies
Hemorragia retiniana,Hemorragias punctiformes,classifies
Hemorragia retiniana,Hemorragias puntiformes,classifies
Hemorragia retiniana,Hemorragias puntiformes,classifies
Retinal haemorrhage,Blot hemorrhages,classifies
Retinal haemorrhage,Blot haemorrhages,classifies
retinabloeding,vlekvormige bloedingen,classifies
Emorragia retinica,Emorragie a chiazze,classifies
Netzhautblutung,flaechenartige Blutungen,classifies
Hemorragia retiniana,Hemorragias en manchas,classifies
retinabloeding,vlekvormige bloedingen,classifies
Hemorragia retiniana,Hemorragias em mancha,classifies
Emorragia retinica,Emorragie a chiazze,classifies
Hemorragia retiniana,Hemorragias en manchas,classifies
Hemorragia retiniana,Hemorragias em mancha,classifies
Netzhautblutung,flaechenartige Blutungen,classifies
Hemorragia retiniana,Hemorragias em manchas,classifies
Hemorragia retiniana,Hemorragias em manchas,classifies
Netzhautblutung,Retinale Blutung fleckenfoermig,classifies
Retinal haemorrhage,Retinal hemorrhage spotted,classifies
Verkkokalvon verenvuoto,Verkkokalvon pisteverenvuoto,classifies
Hemorragia retiniana,Hemorragia retiniana em manchas,classifies
Emorragia retinica,Emorragia retinica a macchie,classifies
retinabloeding,retina puntvormige bloeding,classifies
Hemorragia retiniana,Hemorragia retiniana punteada,classifies
Hemorragia retiniana,Hemorragia retiniana punteada,classifies
Hemorragia retiniana,Hemorragia retiniana em manchas,classifies
Netzhautblutung,Retinale Blutung fleckenfoermig,classifies
retinabloeding,retina puntvormige bloeding,classifies
Retinal haemorrhage,Retinal haemorrhage spotted,classifies
Emorragia retinica,Emorragia retinica puntiforme,classifies
Verkkokalvon verenvuoto,Verkkokalvon pisteverenvuoto,classifies
Netzhautblutung,Augenhintergrund Blutung,classifies
Emorragia retinica,Emorragia del fondo,classifies
Verkkokalvon verenvuoto,Funduksen verenvuoto,classifies
Hemorragia retiniana,Sangrado del fondo de ojo,classifies
Retinal haemorrhage,Fundal haemorrhage,classifies
Retinal haemorrhage,Fundal hemorrhage,classifies
Retinal haemorrhage,Ocular fundus bleeding of,classifies
Hemorragia retiniana,Hemorragia de fundo do olho,classifies
Hemorragia retiniana,Hemorragia do fundo do olho,classifies
retinabloeding,fundus oculi bloeding,classifies
Hemorragia retiniana,Hemorragia do fundo do olho,classifies
Hemorragia retiniana,Hemorragia de fundo do olho,classifies
Emorragia retinica,Sanguinamento del fondo oculare,classifies
retinabloeding,fundusbloeding,classifies
Hemorragia retiniana,Hemorragia del fondo de ojo,classifies
Verkkokalvon verenvuoto,Funduksen verenvuoto,classifies
Netzhautblutung,Augenhintergrund Blutung,classifies
Emorragia retinica,Emorragia del fondo,classifies
Netzhautblutung,Augenhintergrund Blutung,classifies
Hemorragia retiniana,Hemorragia del fondo de ojo,classifies
retinabloeding,fundusbloeding,classifies
Hemorragia retiniana,Hemorragia do fundo do olho,classifies
Hemorragia retiniana,Sangramento de fundo do olho,classifies
Retinal haemorrhage,Macula lutea haemorrhage,classifies
Retinal haemorrhage,Macula lutea hemorrhage,classifies
Hemorragia retiniana,Hemorragia de la mancha amarilla,classifies
Netzhautblutung,Macula lutea-Blutung,classifies
Netzhautblutung,Macula lutea-Blutung,classifies
retinabloeding,macula lutea-bloeding,classifies
retinabloeding,macula lutea bloeding,classifies
Emorragia retinica,Emorragia maculare,classifies
Hemorragia retiniana,Hemorragia de la mancha amarilla,classifies
Emorragia retinica,Emorragia della macula lutea,classifies
Retinal hemorrhage,Retinal detachments; defects; vascular occlusion; and retinopathy,classified as
Hemorragia retiniana,Hemorragia en llama,classifies
retinabloeding,vlamvormige bloeding,classifies
Hemorragia retiniana,Hemorragia en llama,classifies
Retinal haemorrhage,Retinal nerve fibre layer haemorrhage,classifies
Retinal haemorrhage,Retinal nerve fiber layer hemorrhage,classifies
Retinal haemorrhage,Flame-shaped haemorrhage,classifies
Retinal haemorrhage,Flame-shaped hemorrhage,classifies
retinabloeding,bloeding van de vezellaag van de netvlieszenuw,classifies
Emorragia retinica,Emorragia a fiamma,classifies
retinabloeding,vlamvormige bloeding,classifies
Emorragia retinica,Emorragia a forma di fiamma,classifies
Netzhautblutung,Haemorrhagie der Nervenfaserschicht der Netzhaut,classifies
retinabloeding,bloeding van de vezellaag van de netvlieszenuw,classifies
Netzhautblutung,Haemorrhagie der Nervenfaserschicht der Netzhaut,classifies
Verkkokalvon verenvuoto,Liekinmuotoinen verenvuoto,classifies
Hemorragia retiniana,Hemorragia em forma de chama,classifies
Netzhautblutung,Flammenfoermige Blutung,classifies
Verkkokalvon verenvuoto,Verkkokalvon hermosyykerroksen verenvuoto,classifies
Hemorragia retiniana,Hemorragia em forma de chama,classifies
Verkkokalvon verenvuoto,Liekinmuotoinen verenvuoto,classifies
Retinal haemorrhage,Retinal dot haemorrhages,classifies
Retinal haemorrhage,Retinal dot hemorrhages,classifies
Hemorragia retiniana,Hemorragia em chama de vela,classifies
Netzhautblutung,Streifenfoermige Papillenblutung,classifies
Hemorragia retiniana,Hemorragia em forma de chama,classifies
